,Product_importance,Gender,Reached.on.Time_Y.N,Cost_of_the_Product_tr,Discount_offered_tr,Weight_in_gms_tr,Prior_purchases_tr,prior_purchase_std,product_cost_norm,discount_norm,weight_norm,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Cost_Per_Weight,Cost_After_Disc,Weight_level
0,0,0,1,-0.5452441858688841,1.2924648930969886,-1.4648838707304677,-0.21106976491595747,-0.2555787579124929,0.37850467289719625,0.9065257699515907,0.03389335281227174,0,0,0,1,0,1,0,0,0.1435523114355231,133,0
1,0,1,1,0.01881964145130391,1.9028734734462218,-0.2981548977951625,-5.199337582605575,-1.3232889455930834,0.5607476635514018,0.9767990318750809,0.3048940832724616,0,0,0,0,1,1,0,0,0.06994818652849741,157,0
2,0,1,1,-0.4486922810995351,1.4215561053091323,-0.2418873755179341,0.5063476573610789,0.5019736761378665,0.40654205607476634,0.9273698774490261,0.3466764061358656,1,0,0,0,0,1,0,0,0.05423829282750445,135,0
3,1,1,1,-0.5627963389464199,0.5834958357204678,-1.6067550689692431,0.5063476573610789,0.5019736761378665,0.3738317757009346,0.5515983410546412,0.02571219868517166,0,1,0,0,0,1,0,0,0.14953271028037382,166,0
4,1,0,1,-0.43210422284237443,1.352622764219689,-0.426944957034321,-0.21106976491595747,-0.2555787579124929,0.4112149532710281,0.9171744615311684,0.216654492330168,0,0,1,0,0,1,0,0,0.07407407407407407,138,0
5,1,0,1,-0.8179015356232606,0.7282403553007382,-1.1465082436145289,-0.21106976491595747,-0.2555787579124929,0.30841121495327106,0.5952745850171504,0.06077428780131483,0,0,0,0,1,1,0,0,0.11432604093154553,150,0
6,0,0,1,0.6533766109715351,-0.8753538882544654,-0.45241329088436794,-0.21106976491595747,-0.2555787579124929,0.7196261682242991,0.26317929258527467,0.20014609203798392,0,0,0,1,0,1,0,0,0.10544074230282581,247,0
7,0,0,1,0.29529600540403106,1.4215561053091323,-0.3548222977134121,-5.199337582605575,-1.3232889455930834,0.6401869158878505,0.9273698774490261,0.2634039444850256,0,0,0,0,1,1,0,0,0.08309557774607704,185,0
8,0,0,1,-1.1117020775386441,0.7103655549160232,-0.6549304836891207,-0.21106976491595747,-0.2555787579124929,0.25233644859813087,0.5744304775197152,0.12563915266617967,1,0,0,0,0,1,0,0,0.08060182697474476,139,0
9,1,0,1,-0.7765277585872264,0.9917462545024419,-1.5712864975769105,-0.21106976491595747,-0.2555787579124929,0.31775700934579443,0.8066563096026927,0.027173119065010964,0,1,0,0,0,1,0,0,0.13816343723673125,135,0
10,1,1,1,-0.3561586966887801,0.7282403553007382,-0.33981248156467825,-5.199337582605575,-1.3232889455930834,0.43457943925233644,0.5952745850171504,0.27567567567567564,0,0,1,0,0,1,0,0,0.06544321329639889,177,0
11,1,0,1,0.2756944187159562,1.0379371869749336,-0.2650950648733125,-0.21106976491595747,-0.2555787579124929,0.6355140186915887,0.8302382310796892,0.32899926953981007,0,0,0,0,1,1,0,0,0.071318782662158,200,0
13,2,1,1,1.5500849779020571,0.9917462545024419,-0.4025429852917868,-0.21106976491595747,-0.2555787579124929,0.836448598130841,0.8066563096026927,0.23389335281227172,0,0,0,0,1,1,0,0,0.10568793235972329,246,0
14,0,1,1,-1.053106263987631,1.2640663695358172,-2.7474533072977243,-0.21106976491595747,-0.2555787579124929,0.26168224299065423,0.9010184902627867,0.0011687363038714316,1,0,0,0,0,1,0,0,0.1506442021803766,109,0
15,0,0,1,0.1969791629904471,1.324957688892978,-0.3816746537655626,-0.21106976491595747,-0.2555787579124929,0.6121495327102803,0.9119092800092526,0.24923301680058438,0,1,0,0,0,1,0,0,0.08385666789804211,182,0
16,1,0,1,-1.3129814789733738,-0.21106976491595747,-1.5502098724482711,-5.199337582605575,-1.3232889455930834,0.21962616822429903,0.4292269388012125,0.02819576333089846,0,0,1,0,0,1,0,0,0.11976549413735343,137,0
17,1,1,1,0.1969791629904471,1.114032451080225,-0.1166857420429287,-0.21106976491595747,-0.2555787579124929,0.6121495327102803,0.858453877602425,0.4311176040905771,0,0,0,0,1,0,0,1,0.05743927125506073,191,1
18,2,1,1,0.40607882375069193,0.8144007390200398,-0.42405319585555773,-0.21106976491595747,-0.2555787579124929,0.6682242990654205,0.6924062313864872,0.21826150474799125,0,0,0,1,0,0,0,1,0.09579158316633267,221,0
19,1,1,1,-1.2529876254001933,1.324957688892978,-2.0965205824276283,-0.21106976491595747,-0.2555787579124929,0.2289719626168224,0.9119092800092526,0.00847333820306792,0,0,0,0,1,0,0,1,0.1369216241737488,100,0
20,1,0,1,-0.8409063506463136,1.1570614694975132,-1.014571123022885,-5.199337582605575,-1.3232889455930834,0.3037383177570093,0.8714060111191668,0.07596785975164352,1,0,0,0,0,0,0,1,0.10585141354372124,123,0
21,1,0,1,0.2756944187159562,1.5175450472144203,-0.33746002761644245,0.5063476573610789,0.5019736761378665,0.6355140186915887,0.9418928763700031,0.2772826880934989,0,1,0,0,0,0,0,1,0.08002759572266299,181,0
22,0,1,1,-0.9554714443899567,-1.2075322646773317,-0.7621911187844497,-5.199337582605575,-1.3232889455930834,0.28037383177570097,0.16604764621593784,0.10942293644996345,0,0,1,0,0,0,0,1,0.08914285714285715,154,0
23,2,1,1,-0.04141260138064336,0.7282403553007382,-0.1227956891277236,-0.21106976491595747,-0.2555787579124929,0.5373831775700935,0.5952745850171504,0.4267348429510591,0,0,0,0,1,0,0,1,0.05379908210096889,199,1
24,1,0,1,0.6784325172268452,0.9734487290930867,-0.2003373042386136,-5.199337582605575,-1.3232889455930834,0.7242990654205607,0.7982499693322684,0.37399561723886043,0,0,0,1,0,0,0,1,0.07048581859028363,223,0
25,0,1,1,0.1625523959526246,0.9917462545024419,-0.2144165686131524,0.5063476573610789,0.5019736761378665,0.602803738317757,0.8066563096026927,0.3644996347699051,0,0,0,0,1,0,0,1,0.06435926773455378,196,0
26,2,0,1,-0.6302538248871075,0.9165865035350885,-2.060270315933627,-0.21106976491595747,-0.2555787579124929,0.3551401869158879,0.7613222312330882,0.009495982468955444,1,0,0,0,0,0,0,1,0.16135084427767354,148,0
27,1,1,1,-0.8179015356232606,1.0208884174832789,-1.124201403344666,-0.21106976491595747,-0.2555787579124929,0.30841121495327106,0.8226326362314245,0.06340394448502557,0,1,0,0,0,0,0,1,0.11289198606271778,131,0
28,0,1,1,0.3163303832842014,1.2924648930969886,-0.2875616758832478,0.5063476573610789,0.5019736761378665,0.6448598130841122,0.9065257699515907,0.3116143170197224,0,0,1,0,0,0,0,1,0.07466496490108487,190,0
29,0,0,1,-0.4486922810995351,1.114032451080225,-0.14129406548865872,-5.199337582605575,-1.3232889455930834,0.40654205607476634,0.858453877602425,0.41168736303871445,0,0,0,0,1,0,0,1,0.047918303220738416,147,1
30,1,0,1,1.1448959732150612,1.1570614694975132,-0.36862740586804016,-5.199337582605575,-1.3232889455930834,0.7943925233644858,0.8714060111191668,0.254200146092038,0,0,0,1,0,0,0,1,0.09704487413352791,228,0
31,0,0,1,0.8355583582575463,2.0744446087255772,-0.24949867190975528,-5.199337582605575,-1.3232889455930834,0.7523364485981309,0.9847849752272952,0.34185536888239587,0,0,0,0,1,0,0,1,0.07692307692307693,196,0
32,0,0,1,0.12325913203986175,0.8808881195869298,-0.14583171960100136,-0.21106976491595747,-0.2555787579124929,0.5934579439252335,0.740478123735653,0.4081811541271001,1,0,0,0,0,0,0,1,0.05876152832674572,201,1
33,1,1,1,0.3163303832842014,-0.6226211131134611,-0.26338470569853384,-0.21106976491595747,-0.2555787579124929,0.6448598130841122,0.3320952924318757,0.33016800584368156,0,1,0,0,0,0,0,1,0.07175712971481141,230,0
34,1,0,1,0.1969791629904471,0.8808881195869298,-0.4318287726700057,0.5063476573610789,0.5019736761378665,0.6121495327102803,0.740478123735653,0.21314828341855366,0,0,1,0,0,0,0,1,0.09227642276422764,205,0
35,1,0,1,-1.1424831327370564,1.2924648930969886,-0.7057034289186183,-0.21106976491595747,-0.2555787579124929,0.24766355140186913,0.9065257699515907,0.11833455076698321,0,0,0,0,1,0,0,1,0.08227498619547212,105,0
36,2,0,1,-1.537691249872052,2.1968938521927224,-1.0752065081884394,0.5063476573610789,0.5019736761378665,0.19158878504672894,0.9886802824473623,0.06953981008035062,0,0,0,1,0,0,0,1,0.0927555856465809,75,0
37,1,0,1,-0.47943158017267357,0.7867445291708417,-0.19143919482227148,1.505747005712341,1.5696838638184567,0.397196261682243,0.6641905848637514,0.3804236669101534,0,0,0,0,1,0,0,1,0.050208044382801666,165,0
38,0,0,1,0.007527483323829474,1.7274655664796184,-0.12520640832939361,0.5063476573610789,0.5019736761378665,0.5560747663551401,0.9642976155482064,0.4242512783053324,1,0,0,0,0,0,0,1,0.05505761843790013,159,1
39,0,0,1,1.261282157758418,1.324957688892978,-0.4489657699246532,1.0379371869749336,1.0895769946208234,0.8084112149532711,0.9119092800092526,0.2018991964937911,0,1,0,0,0,0,0,1,0.11288292068820814,224,0
40,0,1,1,0.1969791629904471,0.7731401540191065,-0.14519584929593884,-5.199337582605575,-1.3232889455930834,0.6121495327102803,0.6487299874239779,0.40861943024105185,0,0,1,0,0,0,0,1,0.059768299104792,212,1
41,1,1,1,-1.464185967935322,2.0744446087255772,-1.3912020553624096,0.5063476573610789,0.5019736761378665,0.2009345794392523,0.9847849752272952,0.03856829802775749,0,0,0,0,1,0,0,1,0.10988142292490119,78,0
42,1,1,1,-1.537691249872052,1.1570614694975132,-0.8781176420753024,-5.199337582605575,-1.3232889455930834,0.19158878504672894,0.8714060111191668,0.0943754565376187,0,0,0,1,0,0,0,1,0.08318154219793564,99,0
43,0,1,1,-0.5954367721535957,1.2924648930969886,-0.9725526903873213,-5.199337582605575,-1.3232889455930834,0.36448598130841126,0.9065257699515907,0.08108108108108109,0,0,0,0,1,0,0,1,0.11182519280205655,130,0
44,0,1,1,-1.0796899285577486,0.9917462545024419,-1.2781367835433017,-5.199337582605575,-1.3232889455930834,0.2570093457943925,0.8066563096026927,0.047772096420745064,1,0,0,0,0,0,0,1,0.11370481927710843,122,0
45,0,0,1,-0.05522908732975686,0.36553147697296934,-0.3272195218609394,-0.21106976491595747,-0.2555787579124929,0.5327102803738317,0.5263585851705493,0.2838568298027757,0,1,0,0,0,0,0,1,0.07133152173913043,201,0
46,1,0,1,-0.6847629895935875,1.0379371869749336,-1.4380160534442004,0.5063476573610789,0.5019736761378665,0.3411214953271028,0.8302382310796892,0.035646457268078885,0,0,1,0,0,0,0,1,0.1357429718875502,137,0
47,0,1,1,-0.8643650473631331,1.0379371869749336,-0.9517531749417866,-5.199337582605575,-1.3232889455930834,0.2990654205607477,0.8302382310796892,0.08400292184075966,0,0,0,0,1,0,0,1,0.10152284263959391,128,0
48,1,1,1,-0.3414926558588935,0.36553147697296934,-0.155826590849438,-5.199337582605575,-1.3232889455930834,0.4392523364485982,0.5263585851705493,0.402045288531775,0,0,0,1,0,0,0,1,0.0506261657340794,181,1
49,0,0,1,0.01881964145130391,1.2023467032898287,-0.5021453253093103,-0.21106976491595747,-0.2555787579124929,0.5607476635514018,0.8836936334865167,0.16727538349159968,0,0,0,0,1,0,0,1,0.10065237651444547,176,0
50,0,1,1,-0.4486922810995351,1.135284209184952,-0.5271592087862776,-0.21106976491595747,-0.2555787579124929,0.40654205607476634,0.8650174694343825,0.152081811541271,1,0,0,0,0,0,0,1,0.08961802154750245,146,0
51,0,1,1,-1.3781137589543457,0.8808881195869298,-0.7748328448180759,-0.21106976491595747,-0.2555787579124929,0.21028037383177567,0.740478123735653,0.10723155588020453,0,1,0,0,0,0,0,1,0.08126801152737752,119,0
52,0,0,1,-0.758004233319085,1.2924648930969886,-1.2960929997092383,-0.21106976491595747,-0.2555787579124929,0.32242990654205606,0.9065257699515907,0.04660336011687363,0,0,1,0,0,0,0,1,0.125,121,0
